,winner,loser,match score
0,Grigor Dimitrov,Kei Nishikori,62 26 63 
1,Grigor Dimitrov,Milos Raonic,767 62 
2,Kei Nishikori,Stan Wawrinka,763 63 
3,Milos Raonic,Rafael Nadal,46 63 64 
4,Stan Wawrinka,Kyle Edmund,672 64 64 
5,Kei Nishikori,Jordan Thompson,61 61 
6,Grigor Dimitrov,Dominic Thiem,63 46 63 
7,Milos Raonic,Diego Schwartzman,63 62 
8,Stan Wawrinka,Viktor Troicki,765 64 
9,Kei Nishikori,Jared Donaldson,46 64 63 
10,Dominic Thiem,Sam Groth,765 63 
11,Rafael Nadal,Mischa Zverev,61 61 
12,Kyle Edmund,Lucas Pouille,63 31 (RET)
13,Grigor Dimitrov,Nicolas Mahut,62 64 
14,Jordan Thompson,David Ferrer,46 75 75 
15,Rafael Nadal,Alexandr Dolgopolov,63 63 
16,Lucas Pouille,Gilles Simon,766 764 
17,Grigor Dimitrov,Steve Johnson,62 63 
18,David Ferrer,Bernard Tomic,63 75 
19,Jared Donaldson,Gilles Muller,64 64 
20,Kyle Edmund,Ernesto Escobedo,764 766 
21,Sam Groth,Pierre-Hugues Herbert,63 57 75 
22,Nicolas Mahut,Stephane Robert,46 63 64 
23,Diego Schwartzman,Sam Querrey,62 64 
24,Jordan Thompson,Elias Ymer,63 62 
25,Viktor Troicki,Yoshihito Nishioka,64 75 
26,Mischa Zverev,Alex de Minaur,63 63 
27,Yoshihito Nishioka,Tim Smyczek,75 64 
28,Jared Donaldson,John-Patrick Smith,62 46 762 
29,Alex de Minaur,Frances Tiafoe,674 64 64 
30,Ernesto Escobedo,Ivan Dodig,63 673 63 
31,Alex de Minaur,Mikhail Kukushkin,64 767 
32,Ivan Dodig,Ryan Harrison,64 46 64 
33,Yoshihito Nishioka,Go Soeda,64 06 62 
34,Jared Donaldson,Rajeev Ram,62 64 
35,Frances Tiafoe,Andrew Whittington,765 63 
36,Tim Smyczek,Bjorn Fratangelo,46 62 63 
37,John-Patrick Smith,Stefan Kozlov,62 63 
38,Ernesto Escobedo,Tobias Kamke,63 64 
39,Roberto Bautista Agut,Daniil Medvedev,63 64 
40,Roberto Bautista Agut,Benoit Paire,63 63 
41,Daniil Medvedev,Dudi Sela,46 762 62 
42,Roberto Bautista Agut,Mikhail Youzhny,26 64 64 
43,Dudi Sela,Albert Ramos-Vinolas,75 64 
44,Benoit Paire,Aljaz Bedene,63 60 
45,Daniil Medvedev,Jozef Kovalik,61 64 
46,Jozef Kovalik,Marin Cilic,765 57 75 
47,Roberto Bautista Agut,Rogerio Dutra Silva,63 62 
48,Albert Ramos-Vinolas,Steve Darcis,62 60 
49,Aljaz Bedene,Martin Klizan,763 673 762 
50,Benoit Paire,Yuki Bhambri,63 64 
51,Mikhail Youzhny,Renzo Olivo,61 75 
